requestId,id,refreshType,startTime_x,endTime_x,status,serviceExceptionJson_x,attemptId,startTime_y,endTime_y,serviceExceptionJson_y
9cbca636-ec64-4ff6-9dfe-9e2e5acc3056,17173345,Scheduled,2024-04-03T06:00:08.19Z,2024-04-03T06:00:40.707Z,Completed,,1.0,2024-04-03T06:00:08.3148007Z,2024-04-03T06:00:38.7694624Z,
9cbca636-ec64-4ff6-9dfe-9e2e5acc3056,17173345,Scheduled,2024-04-03T06:00:08.19Z,2024-04-03T06:00:40.707Z,Completed,,1.0,2024-04-03T06:00:38.9881692Z,2024-04-03T06:00:39.2849977Z,
9cbca636-ec64-4ff6-9dfe-9e2e5acc3056,17173345,Scheduled,2024-04-03T06:00:08.19Z,2024-04-03T06:00:40.707Z,Completed,,,,,
9cbca636-ec64-4ff6-9dfe-9e2e5acc3056,17173345,Scheduled,2024-04-03T06:00:08.19Z,2024-04-03T06:00:40.707Z,Completed,,,,,
de2143d8-20a8-4064-b508-b80d08153074,17140420,Scheduled,2024-04-02T06:00:06.16Z,2024-04-02T06:00:34.377Z,Completed,,1.0,2024-04-02T06:00:06.2834508Z,2024-04-02T06:00:32.721383Z,
de2143d8-20a8-4064-b508-b80d08153074,17140420,Scheduled,2024-04-02T06:00:06.16Z,2024-04-02T06:00:34.377Z,Completed,,1.0,2024-04-02T06:00:32.9713595Z,2024-04-02T06:00:33.2369361Z,
de2143d8-20a8-4064-b508-b80d08153074,17140420,Scheduled,2024-04-02T06:00:06.16Z,2024-04-02T06:00:34.377Z,Completed,,,,,
de2143d8-20a8-4064-b508-b80d08153074,17140420,Scheduled,2024-04-02T06:00:06.16Z,2024-04-02T06:00:34.377Z,Completed,,,,,
70fd003f-a0b9-4b7c-9e9a-c47cee637e6d,17106762,Scheduled,2024-04-01T06:00:08.077Z,2024-04-01T06:00:40.03Z,Completed,,1.0,2024-04-01T06:00:08.1865199Z,2024-04-01T06:00:35.249288Z,
70fd003f-a0b9-4b7c-9e9a-c47cee637e6d,17106762,Scheduled,2024-04-01T06:00:08.077Z,2024-04-01T06:00:40.03Z,Completed,,1.0,2024-04-01T06:00:38.4211943Z,2024-04-01T06:00:38.702446Z,
70fd003f-a0b9-4b7c-9e9a-c47cee637e6d,17106762,Scheduled,2024-04-01T06:00:08.077Z,2024-04-01T06:00:40.03Z,Completed,,,,,
70fd003f-a0b9-4b7c-9e9a-c47cee637e6d,17106762,Scheduled,2024-04-01T06:00:08.077Z,2024-04-01T06:00:40.03Z,Completed,,,,,
