requestId,id,refreshType,startTime,endTime,status,refreshAttempts,serviceExceptionJson
9cbca636-ec64-4ff6-9dfe-9e2e5acc3056,17173345,Scheduled,2024-04-03T06:00:08.19Z,2024-04-03T06:00:40.707Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-03T06:00:08.3148007Z', 'endTime': '2024-04-03T06:00:38.7694624Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-03T06:00:38.9881692Z', 'endTime': '2024-04-03T06:00:39.2849977Z', 'type': 'Query'}]",
de2143d8-20a8-4064-b508-b80d08153074,17140420,Scheduled,2024-04-02T06:00:06.16Z,2024-04-02T06:00:34.377Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-02T06:00:06.2834508Z', 'endTime': '2024-04-02T06:00:32.721383Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-02T06:00:32.9713595Z', 'endTime': '2024-04-02T06:00:33.2369361Z', 'type': 'Query'}]",
70fd003f-a0b9-4b7c-9e9a-c47cee637e6d,17106762,Scheduled,2024-04-01T06:00:08.077Z,2024-04-01T06:00:40.03Z,Completed,"[{'attemptId': 1, 'startTime': '2024-04-01T06:00:08.1865199Z', 'endTime': '2024-04-01T06:00:35.249288Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-04-01T06:00:38.4211943Z', 'endTime': '2024-04-01T06:00:38.702446Z', 'type': 'Query'}]",
03f43547-95de-4607-ba46-39eabfd5ea9c,17072787,Scheduled,2024-03-31T06:00:05.77Z,2024-03-31T06:00:34.04Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-31T06:00:05.8791086Z', 'endTime': '2024-03-31T06:00:31.8056373Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-31T06:00:32.0711553Z', 'endTime': '2024-03-31T06:00:32.3680356Z', 'type': 'Query'}]",
b63cbdfd-cdaf-4f10-bf92-a5df8e0784fd,17038958,Scheduled,2024-03-30T06:00:03.617Z,2024-03-30T06:00:35.5Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-30T06:00:03.9300718Z', 'endTime': '2024-03-30T06:00:33.5482232Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-30T06:00:33.8450547Z', 'endTime': '2024-03-30T06:00:34.0325518Z', 'type': 'Query'}]",
3a8f6d91-2e48-48c0-8e1b-2bbf93d50c6e,16996589,Scheduled,2024-03-29T06:00:02.637Z,2024-03-29T06:00:35.46Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-29T06:00:02.996065Z', 'endTime': '2024-03-29T06:00:33.9445867Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-29T06:00:34.1945431Z', 'endTime': '2024-03-29T06:00:34.3664194Z', 'type': 'Query'}]",
5b689861-86c1-5f2e-63f5-e67992864522,16966164,OnDemand,2024-03-28T12:25:38.83Z,2024-03-28T12:26:10.147Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T12:25:38.8779636Z', 'endTime': '2024-03-28T12:26:08.2388771Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T12:26:08.6764295Z', 'endTime': '2024-03-28T12:26:08.8326365Z', 'type': 'Query'}]",
cfd1d9ef-43a8-4a58-b13d-a84d475639e1,16955663,Scheduled,2024-03-28T06:00:03.037Z,2024-03-28T06:00:37.773Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-28T06:00:03.4751962Z', 'endTime': '2024-03-28T06:00:35.8992146Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-28T06:00:36.1648533Z', 'endTime': '2024-03-28T06:00:36.3523478Z', 'type': 'Query'}]",
a8bb9cae-6ece-4060-8202-36f5fbc34b09,16917496,Scheduled,2024-03-27T06:00:02.99Z,2024-03-27T06:00:35.24Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-27T06:00:03.255897Z', 'endTime': '2024-03-27T06:00:33.6935164Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-27T06:00:34.0060323Z', 'endTime': '2024-03-27T06:00:34.1935229Z', 'type': 'Query'}]",
0eabdf98-c16f-41aa-bc43-40c523df4bc0,16881694,Scheduled,2024-03-26T06:00:08.627Z,2024-03-26T06:00:40.16Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-26T06:00:08.7356671Z', 'endTime': '2024-03-26T06:00:38.1588163Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-26T06:00:38.5026031Z', 'endTime': '2024-03-26T06:00:38.6743716Z', 'type': 'Query'}]",
6d2acd89-66d9-49a3-abd5-151e2d354f35,16846300,Scheduled,2024-03-25T06:00:02.38Z,2024-03-25T06:00:38.24Z,Completed,"[{'attemptId': 1, 'startTime': '2024-03-25T06:00:03.0974091Z', 'endTime': '2024-03-25T06:00:36.2072232Z', 'type': 'Data'}, {'attemptId': 1, 'startTime': '2024-03-25T06:00:36.4728066Z', 'endTime': '2024-03-25T06:00:36.6446357Z', 'type': 'Query'}]",
